osm_type,osm_id,name,brand,operator,amenity,shop,leisure,office,cuisine,takeaway,delivery,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,phone,website,lat,lon
way,28594148,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1890,Shattuck Avenue,Berkeley,CA,,510-990-8262,https://order.sweetgreen.com/berkeley/menu,37.8739991,-122.2688574
node,11737926274,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1875,South Bascom Avenue,Campbell,CA,95008,+1-831-318-7251,https://www.sweetgreen.com/,37.2885573,-121.9329434
way,133234608,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,581,Ramona Street,Palo Alto,CA,94301,,https://www.sweetgreen.com/,37.4447093,-122.1609769
node,11268560834,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,10562,Craftsman Way,San Diego,CA,92127,,,33.0195527,-117.1105496
node,5458181080,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1343,4th Street,Santa Monica,CA,90401,+1-424-744-8321,https://www.sweetgreen.com/,34.0169375,-118.495511
node,13032502702,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,20929,Ventura Boulevard,Woodland Hills,CA,91364,,,34.1666776,-118.5891453
node,12717254738,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,2770,South Colorado Boulevard,Denver,CO,80222,+1-720-734-6473,,39.6661363,-104.9399214
node,12310859589,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,3985,Tennyson Street,Denver,CO,80212,,,39.7727596,-105.0442435
way,812551274,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1750,Wewatta Street,Denver,CO,80202,,,39.7542283,-105.0009407
node,3710986602,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1212,4th Street Southeast,Washington,DC,20003,,,38.8751204,-77.0002718
node,3000023676,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,2221,I Street Northwest,Washington,DC,20037,,,38.9009587,-77.0497296
node,2180030515,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1901,L Street Northwest,Washington,DC,20036,,,38.9039435,-77.0438832
node,3099875496,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,2238,M Street Northwest,Washington,DC,20037,,,38.9051079,-77.0495276
node,3008727681,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,no,1471,P Street Northwest,Washington,DC,20005,+1 202-234-7336,https://www.sweetgreen.com/,38.9098132,-77.0339893
node,2527022948,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,221,Pennsylvania Avenue Southeast,Washington,DC,20003,+1 202-547-9338,https://sweetgreen.com/,38.8870475,-77.0026986
node,2402694703,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1325,W Street Northwest,Washington,DC,20009,+1 202-506-2956,https://sweetgreen.com/,38.91932,-77.0313431
node,11336950638,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,2621,Northwest 2nd Avenue,Miami,FL,33127,+1-305-614-9007,https://order.sweetgreen.com/wynwood/menu,25.8016774,-80.1989806
node,2390850324,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,yes,1201,Peachtree Street Northeast,,GA,30361,+1 770-766-1600,https://order.sweetgreen.com/14th-peachtree/menu,33.7877111,-84.3833018
node,8510829573,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1520,East 53rd Street,Chicago,IL,60615,,https://sweetgreen.com,41.7996983,-87.5889546
node,9219692852,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,5400,North Clark Street,Chicago,IL,60640,,https://order.sweetgreen.com,41.9799664,-87.6684584
node,12066816705,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1471,North Milwaukee Avenue,Chicago,IL,60622,,,41.9086886,-87.6746017
node,12710607850,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,3601,North Southport Avenue,Chicago,IL,60613,,,41.9472168,-87.663808
node,5458146194,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,623,North State Street,Chicago,IL,60654,+1-312-374-8173,https://www.sweetgreen.com/,41.8931411,-87.6278662
node,8743665981,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,900,West North Avenue,Chicago,IL,60642,,,41.9114684,-87.6507599
node,11272453395,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1000,West Randolph Street,Chicago,IL,60607,,,41.8845523,-87.6524414
node,12580977430,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,20530,Rand Road,Deer Park,IL,60047,,https://www.sweetgreen.com/,42.1619018,-88.0534863
node,12365650086,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,775,North Waukegan Road,Deerfield,IL,60015,,,42.1666658,-87.8452427
node,2282784638,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1601,Sherman Avenue,Evanston,IL,60201,+1-847-892-1700,https://www.sweetgreen.com/,42.0471443,-87.6816348
way,201476634,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,225,South Main Street,Naperville,IL,60540,,,41.772359,-88.1499309
node,7499693357,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,yes,659,Boylston Street,Boston,MA,02116,+1-617-936-3464,https://order.sweetgreen.com/back-bay/menu,42.3499713,-71.0786511
node,7777144264,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,800,Boylston Street,Boston,MA,02199,+1-857-753-4982,https://order.sweetgreen.com/prudential-center/menu,42.3469126,-71.0833375
node,7683106105,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,132,Brookline Avenue,Boston,MA,02215,+1-857-233-2673,https://order.sweetgreen.com/fenway/menu,42.3449449,-71.1006972
node,4406184596,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,300,Cambridge Street,Boston,MA,02114,,,42.3609942,-71.0683995
node,9964684740,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,225,Franklin Street,Boston,MA,02210,+1-617-648-5500,https://order.sweetgreen.com/post-office-square/menu,42.3563484,-71.0539211
node,9523370197,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,360,Longwood Avenue,Boston,MA,02215,+1 781 653 6600,https://order.sweetgreen.com,42.3389078,-71.1073866
node,5749774093,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,15,School Street,Boston,MA,,+1 857 317 4949,https://order.sweetgreen.com/,42.3576068,-71.0588177
node,6551565572,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,87,Summer Street,Boston,MA,02110,+16178704700,https://order.sweetgreen.com/,42.3539018,-71.05857
node,11543746984,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,201,Galileo Galilei Way,Cambridge,MA,02142,,,42.3649341,-71.089081
node,7100193728,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,39,John F. Kennedy Street,Cambridge,MA,02138,+16179413400,https://www.sweetgreen.com,42.3728716,-71.1200734
node,1091595502,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,4831,Bethesda Avenue,Bethesda,MD,20814,,https://sweetgreen.com/,38.9810619,-77.0969877
node,6573548978,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,8300,Baltimore Avenue,College Park,MD,20740,+1--240-770-4443,https://www.sweetgreen.com/,38.9922712,-76.9335839
node,9524802584,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,1,East Joppa Road,Towson,MD,21286,+14102206900,https://order.sweetgreen.com/,39.4013558,-76.6019237
node,2742714806,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,311,South State Street,Ann Arbor,MI,48104,+17346009030,https://www.sweetgreen.com/,42.2789335,-83.7406535
node,10674920907,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,167,North Old Woodward Avenue,Birmingham,MI,48009,,,42.5470201,-83.2149117
node,945574884,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,615,Southeast Washington Avenue,Minneapolis,MN,55414,,https://www.sweetgreen.com/,44.9739642,-93.2300642
node,12084013219,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,17,Artisan Drive,Salem,NH,03079,+1 603 912 2670,,42.7718436,-71.2262941
node,6534166846,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,127,Court Street,Brooklyn,NY,11201,+1-347-767-6800,https://order.sweetgreen.com/court-atlantic/menu,40.6899213,-73.9920718
node,9130653630,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,100,Willoughby Street,Brooklyn,NY,11201,+1-646-916-3162,https://order.sweetgreen.com/downtown-brooklyn/menu,40.6919962,-73.9845653
node,2569887980,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,106-24,71st Avenue,Forest Hills,NY,11375,,https://www.sweetgreen.com/,40.7199987,-73.8447148
node,10693690443,Sweetgreen,Sweetgreen,,fast_food,,,,salad,yes,,25-35,44th Drive,Long Island City,NY,11101,+1-929-470-2030,https://order.sweetgreen.com/long-island-city/menu,40.7474269,-73.9425436
