name,num,street,city,state,zipc,@lat,@lon
Vitality Bowls,364,Commerce St,Alpharetta,GA,30009,34.0746556,-84.2931618
Vitality Bowls,25,Climax Road,Avon,CT,6001,41.811546,-72.8355917
Vitality Bowls,3620,Ranch Rd 620 S.,Bee Cave,TX,78738,30.3194745,-97.9531169
Vitality Bowls,347,Front Street,Berea,OH,44017,41.3749278,-81.8533316
Vitality Bowls,2525,Arapahoe Avenue,Boulder,CO,80302,40.0162238,-105.2616853
Vitality Bowls,2375,Sandcreek Road,Brentwood,CA,94513,,
Vitality Bowls,3320,Hamilton Mill Road,Buford,GA,30519,34.1068815,-83.9812289
Vitality Bowls,20668,Rustic Drive,Castro Valley,CA,94546,37.6959938,-122.0777496
Vitality Bowls,1310,Cypress Creek Road,Cedar Park,TX,78613,30.4846244,-97.8306404
Vitality Bowls,107,West Bland Street,Charlotte,NC,28203,35.2176183,-80.8551312
Vitality Bowls,13492,Bass Pro Drive,Colorado Springs,CO,80921,39.0276923,-104.8252355
Vitality Bowls,19700,Vallco Parkway,Cupertino,CA,95014,37.3253303,-122.0125042
Vitality Bowls,24120,Northwest Freeway,Cypress,TX,77429,29.9741604,-95.701195
Vitality Bowls,190,Hartz Ave,Danville,CA,94526,37.8235162,-122.0013308
Vitality Bowls,5271,Martinelli Way,Dublin,CA,94568,37.704726,-121.8924546
Vitality Bowls,440,Coburg Road,Eugene,OR,97401,44.067166,-123.0728877
Vitality Bowls,39258,Paseo Padre Parkway,Fremont,CA,94538,37.5533245,-121.9785906
Vitality Bowls,5729,Lebanon Road,Frisco,TX,75034,33.1155978,-96.8372698
Vitality Bowls,5105,West Eldorado Parkway,Frisco,TX,75033,,
Vitality Bowls,2438,South Recker Rd.,Gilbert,AZ,85295,33.3257809,-111.7042008
Vitality Bowls,3569,28th Street Southeast,Grand Rapids,MI,49512,42.9126003,-85.5795392
Vitality Bowls,50,Main St,Hackensack,NJ,7601,40.8798759,-74.0440148
Vitality Bowls,434,Bergen Street,Harrison,NJ,7029,40.7433287,-74.1551361
Vitality Bowls,110,Smirl Drive,Heath,TX,75032,32.8368114,-96.4754835
Vitality Bowls,230,Village Drive,King of Prussia,PA,19406,40.0855763,-75.4024405
Vitality Bowls,3454,Mount Diablo Boulevard,Lafayette,CA,94549,37.892773,-122.11382
