@id	@type	@lat	@lon	name	brand	operator	website	addr:city	addr:state	addr:postcode
153605099	node	33.3478039	-86.8706454	Hoover YMCA						
306082698	node	41.1394226	-112.0602378	Anytime Fitness	Anytime Fitness		https://www.anytimefitness.com/gyms/292/clinton-ut-84015/	Clinton	UT	84015
314327197	node	39.8290299	-75.0970432	Crunch Fitness	Crunch Fitness					
321941184	node	37.1140259	-121.6379370	Fitness 19		"ENDO Fitness 2, LLC"		Morgan Hill	CA	95037
335470364	node	34.6881975	-82.8107203	Max Fitness				Clemson	SC	29631
347116120	node	37.0147962	-121.5989490	Snap Fitness	Snap Fitness	"Terry’s Unlimited Fitness, LLC"	https://www.snapfitness.com/us/gyms/gilroy-ca	Gilroy	CA	95020
356593073	node	37.2703006	-79.8971056	Craig Avenue Recreational Center						
356685854	node	40.7386668	-111.8263901	The Little Gym				Salt Lake City	UT	
357287098	node	40.9902371	-80.3352770	The Rack						
357330603	node	40.4261332	-79.9762382	CrossFit Athletics						
357998916	node	34.9632150	-90.0576980	Club4Fitness						
358246845	node	38.6159521	-76.9013606	Saint Charles Athletic Center						
358281582	node	42.7026571	-73.1596333	Gemini Gymnastics			https://www.geminigymnasticsllc.com/	North Adams	MA	01247
364002211	node	44.9820263	-123.0246961	Phisiq						
365319620	node	32.8206636	-117.1584728	24 Hour Fitness	24 Hour Fitness					
366765342	node	38.3711193	-97.6692089	McPherson Family YMCA				McPherson	KS	67460
367088912	node	42.4220112	-94.9964191	Sac Community Center					IA	
367781292	node	42.3484886	-71.0743051	YWCA					MA	
367997865	node	37.2701473	-79.9507668	Kirk Family YMCA					VA	
368200695	node	37.8627986	-122.2668624	Funky Door Yoga			https://www.funkydoor.com/berkeley			
385388208	node	42.4345603	-71.4857671	Stow Fitness Center						
392204795	node	37.7898626	-122.4023300	24 Hour Fitness	24 Hour Fitness	24Hour Fitness				
403524002	node	40.6805096	-73.9689370	Chelsea Piers Fitness			https://fitness.chelseapiers.com/locations/prospect-heights	Brooklyn	NY	11238
